state_ab,state,ab
US-AL,Alabama,AL
US-AK,Alaska,AK
US-AZ,Arizona,AZ
US-AR,Arkansas,AR
US-CA,California,CA
US-CO,Colorado,CO
US-CT,Connecticut,CT
US-DE,Delaware,DE
US-FL,Florida,FL
US-GA,Georgia,GA
US-HI,Hawaii,HI
US-ID,Idaho,ID
US-IL,Illinois,IL
US-IN,Indiana,IN
US-IA,Iowa,IA
US-KS,Kansas,KS
US-KY,Kentucky,KY
US-LA,Louisiana,LA
US-ME,Maine,ME
US-MD,Montana,MT
US-MA,Nebraska,NE
US-MI,Nevada,NV
US-MN,New Hampshire,NH
US-MS,New Jersey,NJ
US-MO,New Mexico,NM
US-MT,New York,NY
US-NE,North Carolina,NC
US-NV,North Dakota,ND
US-NH,Ohio,OH
US-NJ,Oklahoma,OK
US-NM,Oregon,OR
US-NY,Maryland,MD
US-NC,Massachusetts,MA
US-ND,Michigan,MI
US-OH,Minnesota,MN
US-OK,Mississippi,MS
US-OR,Missouri,MO
US-PA,Pennsylvania,PA
US-RI,Rhode Island,RI
US-SC,South Carolina,SC
US-SD,South Dakota,SD
US-TN,Tennessee,TN
US-TX,Texas,TX
US-UT,Utah,UT
US-VT,Vermont,VT
US-VA,Virginia,VA
US-WA,Washington,WA
US-WV,West Virginia,WV
US-WI,Wisconsin,WI
US-WY,Wyoming,WY
US-DC,,
US-AS,,
US-GU,,
US-MP,,
US-PR,,
US-UM,,
US-VI,,